amfi_code,cagr,return_rank,sharpe_ratio,sharpe_rank,alpha,alpha_rank,max_drawdown,dd_rank,fund_score
102886,0.0117093879842316,40.0,-51.869565179385184,36.0,0.02896939786637944,40.0,-0.2800112356639287,35.0,32.5
119095,0.015204552427132478,39.0,-19.14533993604688,33.0,0.048015953637759554,37.0,-0.5167775370852656,39.0,31.25
100016,0.026352458116335464,37.0,-50.78230102503668,35.0,0.03747580763443281,39.0,-0.24734440880673303,34.0,31.050000000000004
119599,0.02053064146209893,38.0,-14.41102970870135,32.0,0.048824215945539845,36.0,-0.5257422117012851,40.0,30.599999999999998
100025,0.04455091155784441,36.0,-142.90788779761655,39.0,0.042817920315060876,38.0,-0.04308263824636349,4.0,28.549999999999997
118636,0.053131554027608274,35.0,-89.87063589362069,38.0,0.05074772999976104,35.0,-0.08316361763638702,6.0,27.6
119120,0.05885271270380055,34.0,-57.09699743023478,37.0,0.05620895216638369,34.0,-0.04328728923970093,5.0,26.75
101208,0.06504429821332125,32.0,-205.5229767130243,40.0,0.060861457957871144,33.0,-0.0016224980244717857,3.0,26.500000000000004
120842,0.06696806255006482,31.0,19.151961707740483,30.0,0.0780443887615508,29.0,-0.24003511326274884,33.0,25.9
119092,0.0636349475771898,33.0,7.757782440555658,31.0,0.0689952982167755,30.0,-0.1440161790933726,15.0,25.15
119093,0.07891944369437343,28.0,32.66285348508671,29.0,0.08232801295222093,28.0,-0.21751396370148224,31.0,24.35
101207,0.07933120999915699,27.0,40.99051386018987,28.0,0.10897091901704538,27.0,-0.3544691649336603,38.0,24.3
120844,0.0691037983940288,30.0,-22.364318646324367,34.0,0.06455677495375998,32.0,-0.0011629327956168556,2.0,24.099999999999998
125498,0.11293660210400969,26.0,75.75420410272206,27.0,0.11989100971217971,26.0,-0.21117279560132118,29.0,22.65
120507,0.0723241093234459,29.0,124.92229502423471,23.0,0.06746210411099539,31.0,-0.0009773140045925555,1.0,20.75
120841,0.13522349085511554,24.0,124.55667954254322,24.0,0.13042924450705445,25.0,-0.1757361416468729,24.0,20.6
149322,0.13383520958789363,25.0,116.9374372035604,25.0,0.13173190226099432,24.0,-0.14844576917771746,16.0,20.150000000000002
118634,0.16361396476593382,21.0,113.00537024506583,26.0,0.1750072167561127,18.0,-0.2334488614483311,32.0,19.6
118633,0.16262218000296524,22.0,162.59227444991703,21.0,0.15643835948169668,22.0,-0.18629743138595511,26.0,18.85
102887,0.16828673461948984,20.0,156.11843270091168,22.0,0.16211256794033255,21.0,-0.21539827112383225,30.0,18.7
120506,0.17072227512921923,19.0,163.51745143228823,20.0,0.1625385327998104,20.0,-0.1982565826298267,27.0,17.4
118635,0.15945481185082522,23.0,167.5439636343636,19.0,0.1513635464823924,23.0,-0.1165062450540909,10.0,17.25
125497,0.19003613208378556,16.0,195.4991429549224,18.0,0.17729754927531766,16.0,-0.15200013055606398,18.0,14.3
120503,0.18771330105513617,17.0,201.08916036853174,17.0,0.17703302365844073,17.0,-0.13897862823061635,14.0,14.15
102885,0.18218826089343754,18.0,205.90903301205807,16.0,0.17048756803412696,19.0,-0.1085986215250232,7.0,13.899999999999999
148568,0.22499840384352243,14.0,233.42441137747568,15.0,0.20873010086942337,14.0,-0.1527259422823477,19.0,12.65
119552,0.21508021785499332,15.0,240.22643321023463,12.0,0.1986859936686296,15.0,-0.11803493502764295,11.0,11.6
120504,0.2327744753273051,13.0,258.68411976942366,10.0,0.2119482701352573,13.0,-0.12588275606922517,12.0,10.2
119094,0.28192608222062465,9.0,251.55420868963765,11.0,0.2607666908004223,9.0,-0.20960883862039192,28.0,10.049999999999999
118632,0.2403119561352478,11.0,272.57811319511745,8.0,0.21829397904608644,11.0,-0.17414075086657232,23.0,9.8
101206,0.23520488754230384,12.0,258.85775862459315,9.0,0.21399784776051212,12.0,-0.11291596329323073,9.0,9.15
149324,0.3226210752841656,3.0,239.34854781472396,13.0,0.3005787817097677,2.0,-0.31171900300634214,37.0,8.25
119598,0.3239808398464554,2.0,238.21768089393362,14.0,0.3033696538698332,1.0,-0.2870600572176455,36.0,7.9
119551,0.2578492084946409,10.0,304.4831749779248,4.0,0.23201007160635082,10.0,-0.1501238549864533,17.0,7.7
149323,0.29558105232568344,8.0,285.2947068236306,6.0,0.26598577542043045,8.0,-0.17248105753451382,22.0,7.7
100033,0.30099703552874524,7.0,275.612083370727,7.0,0.2719535450128533,6.0,-0.16217208574644848,20.0,7.050000000000001
148569,0.31924485848158723,4.0,311.20236649513106,3.0,0.2827036785246582,4.0,-0.1639674294693263,21.0,4.85
120505,0.3280159948038617,1.0,297.3855018104836,5.0,0.2926358334175106,3.0,-0.18188513572116294,25.0,4.65
120843,0.30883325525154603,6.0,329.2994803247959,2.0,0.27330465038306057,5.0,-0.1297396816518679,13.0,4.6
148567,0.30949920362874206,5.0,364.96937492221747,1.0,0.2698375144191807,7.0,-0.11265729075028275,8.0,3.95
